"","ENS","Gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"644","ENSG00000198860","TSEN15",377.95216726045,1.12907872485789,0.13539891046694,6.63120485981786e-18,1.73832298825225e-16
"645","ENSG00000173915","ATP5MD",719.420325804933,1.05312897659309,0.125868802544549,7.25319899141656e-18,1.89842643989293e-16
"646","ENSG00000124486","USP9X",1501.66484292482,-0.774591746595449,0.0913445632056463,7.38615626614157e-18,1.93023359264709e-16
"647","ENSG00000198839","ZNF277",332.850729355089,1.09647286555263,0.131463267251272,7.55292598774132e-18,1.97076501584311e-16
"648","ENSG00000196365","LONP1",1112.48304376068,-0.825134099235412,0.0975464505582663,7.56563881524063e-18,1.97103571726686e-16
"649","ENSG00000076928","ARHGEF1",822.348171586216,-0.855131037120135,0.101258557854333,7.72903717677386e-18,2.01050239781658e-16
"650","ENSG00000169035","KLK7",1036.41173824052,1.07183328260225,0.128377354581924,7.80261825241251e-18,2.02652002057274e-16
"651","ENSG00000177106","EPS8L2",3075.61303022934,-0.585937780704376,0.0687027299573428,7.95031854516948e-18,2.06170933455532e-16
"652","ENSG00000138796","HADH",561.496442684927,1.07298884449759,0.128615352576238,8.2004803939058e-18,2.12332070567358e-16
"653","ENSG00000183111","ARHGEF37",350.077892172691,-1.344481287226,0.164657973977427,8.75547436504337e-18,2.26355158086772e-16
"654","ENSG00000145741","BTF3",5112.27946813239,0.809494747925796,0.0959030272459939,9.28162424405773e-18,2.39279305691392e-16
"655","ENSG00000185825","BCAP31",2572.86978914762,0.58898904549067,0.0692126991444689,9.28373091031049e-18,2.39279305691392e-16
"656","ENSG00000088387","DOCK9",815.28946486007,-0.856926065963633,0.101759209945109,9.42366366550837e-18,2.42515685977305e-16
"657","ENSG00000104332","SFRP1",860.43407306931,-0.93000930325593,0.110841383419429,9.51289386997988e-18,2.44439382515982e-16
"658","ENSG00000148834","GSTO1",803.536084597511,1.18174515053871,0.143042857827534,9.91869892535496e-18,2.54479445680612e-16
"659","ENSG00000124177","CHD6",642.359440446008,-1.13126186612457,0.136512549399469,1.01676151379158e-17,2.60469922243239e-16
"660","ENSG00000183742","MACC1",1062.24123416089,-0.885374631929157,0.105443931876073,1.05495682362291e-17,2.69845168127303e-16
"661","ENSG00000198026","ZNF335",344.171984909608,-1.19991529497259,0.145760078772902,1.1576092720955e-17,2.95654458873166e-16
"662","ENSG00000116871","MAP7D1",3606.43296556403,-0.566640669613764,0.0668006268662635,1.23296226893145e-17,3.14424003385208e-16
"663","ENSG00000073737","DHRS9",48.218726309062,2.86052751590638,0.374477679013992,1.24183251399778e-17,3.16208393684925e-16
"664","ENSG00000092820","EZR",11661.7093114279,-0.546307911668872,0.0644058137497658,1.28997334744049e-17,3.27971838124855e-16
"665","ENSG00000104979","C19orf53",808.603794534687,1.10870672709003,0.134075231297825,1.30259270918432e-17,3.3068225739022e-16
"666","ENSG00000108639","SYNGR2",1134.26508271741,0.833920352360638,0.0994382115030367,1.36596525985954e-17,3.46249632386618e-16
"667","ENSG00000154642","C21orf91",369.827331921863,1.03019868365121,0.124104543798377,1.38619354932126e-17,3.50850367310966e-16
"668","ENSG00000153187","HNRNPU",4517.54302409727,-0.634126581785729,0.075085936260244,1.454023626624e-17,3.67467468033928e-16
"669","ENSG00000182795","C1orf116",3028.04280061396,-0.669071954300536,0.0793965329442498,1.55898916612019e-17,3.93405905866085e-16
"670","ENSG00000132341","RAN",5097.73913880856,0.77844019478594,0.0928015249515302,1.59759247230542e-17,4.02545613693434e-16
"671","ENSG00000131149","GSE1",637.302945355566,-0.98927241216012,0.119203166138457,1.65396311505267e-17,4.1612824602562e-16
"672","ENSG00000242071","RPL7AP6",374.514460943813,1.16943880727659,0.142523218990643,1.68055371579922e-17,4.22189104614916e-16
"673","ENSG00000016602","CLCA4",115.351346460734,1.65217083114468,0.213563327897911,1.68672929302006e-17,4.23110905271391e-16
"674","ENSG00000146386","ABRACL",596.337220196578,1.1238477397604,0.136575213212096,1.7074789572289e-17,4.27680411809172e-16
"675","ENSG00000143106","PSMA5",1249.42686501487,0.926234782768753,0.111329994711879,1.75392830045674e-17,4.38663963974974e-16
"676","ENSG00000137288","UQCC2",268.362250298159,1.46364410684896,0.183670191687352,1.75800164403344e-17,4.39032304061724e-16
"677","ENSG00000121644","DESI2",731.002488614836,0.785601072341977,0.0938936409429075,1.87313860529548e-17,4.67094917793179e-16
"678","ENSG00000129562","DAD1",991.815511824693,0.909025320298294,0.109332794484393,1.95113001812506e-17,4.85825618967364e-16
"679","ENSG00000197632","SERPINB2",293.821482066939,-1.61143928036441,0.207302388946717,1.97021278344226e-17,4.89854671724186e-16
"680","ENSG00000108819","PPP1R9B",895.960968808783,-0.792301889595842,0.0949093976834657,2.15449429313627e-17,5.34884892010684e-16
"681","ENSG00000164828","SUN1",1223.90004745248,-0.719865045179147,0.0860033301348182,2.2058838077835e-17,5.46838919867856e-16
"682","ENSG00000122705","CLTA",1553.38801524815,0.963975849650343,0.116582265497398,2.34782097349022e-17,5.81171754757507e-16
"683","ENSG00000145494","NDUFS6",871.661319592067,0.8804155108799,0.106035655904858,2.36803543929912e-17,5.8531733947654e-16
"684","ENSG00000268104","SLC6A14",85.2557524437897,2.36697984047564,0.328471180776449,2.4537105381759e-17,6.05607329027566e-16
"685","ENSG00000109089","CDR2L",1244.51947086078,-0.871399280533191,0.104979756741176,2.49051241716556e-17,6.13793147833416e-16
"686","ENSG00000090263","MRPS33",363.115907659259,1.1555177903817,0.141662624433221,2.67942473154966e-17,6.59388459446376e-16
"687","ENSG00000083845","RPS5",9629.68427712239,1.54970959421235,0.198312895633124,2.70406240484827e-17,6.64482991537823e-16
"688","ENSG00000130158","DOCK6",341.679971748345,-1.16635403423036,0.143339523012216,2.99668638120896e-17,7.35320632086768e-16
"689","ENSG00000101166","PRELID3B",3385.33371746351,0.733899020151457,0.0881203974014363,3.02106993068283e-17,7.402279037705e-16
"690","ENSG00000102898","NUTF2",1009.90312760495,0.824107533234308,0.0994410862112349,3.25006926141049e-17,7.951836126251e-16
"691","ENSG00000237550","RPL9P9",2218.27276063794,1.60800747298897,0.208533335660109,3.32158776315946e-17,8.11505710819942e-16
"692","ENSG00000070814","TCOF1",1028.43701311954,-0.878538284359725,0.106360399208645,3.41826920362203e-17,8.33919374213109e-16
"693","ENSG00000167522","ANKRD11",1523.11959458636,-0.855681386012535,0.103499168757101,3.46544315651135e-17,8.44207956251438e-16
"694","ENSG00000130508","PXDN",79.5819404739197,-9.05799201482412,1.13940390715656,3.64162586619359e-17,8.85849104799425e-16
"695","ENSG00000101843","PSMD10",530.317146728944,0.922994457989239,0.112122870226608,3.70127563815934e-17,8.99063817602964e-16
"696","ENSG00000128159","TUBGCP6",408.034514869841,-1.12413179369314,0.138277363042045,3.87504223239353e-17,9.39920444932005e-16
"697","ENSG00000089280","FUS",2452.33649627991,-0.678621637356061,0.0816852104719107,4.17849466375704e-17,1.01207097436939e-15
"698","ENSG00000141552","ANAPC11",569.106342423408,1.08139127706394,0.132839222146742,4.26496183934999e-17,1.03153418011327e-15
"699","ENSG00000187240","DYNC2H1",386.607109393693,-1.31420175319141,0.164387526529046,4.27275393515195e-17,1.0319403710048e-15
"700","ENSG00000097007","ABL1",724.121544245837,-0.979046843036804,0.119617567169225,4.46035664773534e-17,1.0757105846724e-15
"701","ENSG00000129103","SUMF2",1598.57401793542,0.756331103523114,0.0914739269029574,4.69417212505983e-17,1.13048521847732e-15
"702","ENSG00000130589","HELZ2",602.442547836322,-1.03547112603524,0.127118337429921,4.9440649814902e-17,1.18897015694469e-15
"703","ENSG00000159176","CSRP1",1341.71579755703,0.864576308958416,0.105219077460799,5.13367026817679e-17,1.23281111617867e-15
"704","ENSG00000076067","RBMS2",743.216023971952,-0.808098173962474,0.0980867948049286,5.1433723135983e-17,1.23338652554214e-15
"705","ENSG00000137100","DCTN3",726.611810469734,0.970621553086838,0.118810388429687,5.22627244924394e-17,1.25148838990264e-15
"706","ENSG00000117054","ACADM",1002.74153698585,0.793427049237242,0.0962973486983335,5.3494383317394e-17,1.27916739258392e-15
"707","ENSG00000118058","KMT2A",430.809545805959,-1.26166163905381,0.157768128665134,5.72435998317169e-17,1.36688324237489e-15
"708","ENSG00000168028","RPSA",14748.5222017596,1.36009560238313,0.171766009270675,5.82677649471058e-17,1.38937345739695e-15
"709","ENSG00000034713","GABARAPL2",522.70819823681,0.903727852829932,0.110413583031679,5.85817531425907e-17,1.39489020670411e-15
"710","ENSG00000204138","PHACTR4",509.481075186553,-0.975858702391849,0.119745972375262,6.04990533945168e-17,1.43851411183977e-15
"711","ENSG00000099194","SCD",18246.9277237043,-0.59290391571312,0.0715374022785953,6.07897697896074e-17,1.44339366186801e-15
