ENS,Gene,SGPL1_Control.A,SGPL1_Control.B,SGPL1_Control.C,SGPL1_KO.A,SGPL1_KO.B,SGPL1_KO.C,SGPL1_OE.A,SGPL1_OE.B,SGPL1_OE.C
ENSG00000140259,MFAP1,99.63147128,93.61878346,100.8617814,78.62084756,69.2679617,72.0900211,111.0397993,98.48652662,102.7143726
ENSG00000117122,MFAP2,4.169183488,3.020271464,2.034403437,5.042027919,3.339692108,4.22118257,6.78644791,3.993600224,5.271389501
ENSG00000037749,MFAP3,16.40206608,17.58705266,20.34925413,15.27184846,19.12343262,17.69330355,15.68018718,17.39572296,15.34569102
ENSG00000198948,MFAP3L,4.378132473,3.551022628,4.576185834,4.416987062,4.317414578,4.116113502,4.157164434,3.221562052,2.13617863
ENSG00000197614,MFAP5,25.38371952,23.72236008,21.5168635,10.54819726,8.636483294,8.830944045,24.87617,26.51265854,25.95714171
ENSG00000168958,MFF,33.30528372,26.14663351,28.03507175,32.10867547,29.14763803,30.40349644,32.53556395,26.06398835,31.02568258
ENSG00000140545,MFGE8,19.10217344,22.54635345,19.25017267,22.09692624,20.18043423,16.97792603,24.12632043,23.230116,20.57331138
ENSG00000147324,MFHAS1,8.041568779,9.415492378,9.305292598,6.382814541,5.659679156,5.714875013,13.26156019,20.62679397,11.34226232
ENSG00000171109,MFN1,42.50026321,42.85659723,40.44784145,30.44224446,33.83453591,31.91037528,34.45128844,44.45209569,35.1873053
ENSG00000116688,MFN2,105.8511696,117.527867,117.0777908,68.5357362,69.65806706,62.53558415,129.5310615,126.7420268,111.0118262
ENSG00000100060,MFNG,2.723361984,2.273455562,2.424654854,0.795337918,0.497541474,2.156106438,2.644240441,4.712079705,5.000419955
ENSG00000118855,MFSD1,66.55870035,69.28015482,67.81837789,55.2443615,53.86060175,46.09717339,56.87948395,52.96178606,58.10545976
ENSG00000109736,MFSD10,97.27167001,119.9498078,138.3433285,113.312475,110.4219004,89.40640935,142.4491107,153.025178,132.658348
ENSG00000092931,MFSD11,13.33616783,11.5842432,11.0982622,14.22604807,15.12520039,12.57941518,11.03317878,9.273543506,7.175399129
ENSG00000161091,MFSD12,35.67807415,33.24960992,31.20213392,20.29885791,23.3993097,24.62899869,33.72125474,35.95200477,37.0071432
ENSG00000138111,MFSD13A,8.263420268,10.51473198,11.60521575,8.55450668,9.097488003,4.792740473,7.628868797,6.634767619,10.17750949
ENSG00000156875,MFSD14A,2.214997836,1.463850632,2.185688446,3.414056656,4.741342175,3.146792808,2.56390708,3.530532447,3.269244134
ENSG00000148110,MFSD14B,110.5998871,102.3937663,109.7636232,81.61084119,98.27644034,79.14757717,126.5731987,127.5931631,131.4142504
ENSG00000196312,MFSD14C,11.06623353,10.11814569,12.68423653,4.305596939,5.376566007,4.983121891,8.977462155,11.20257648,9.250249503
