"","ENS","Gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"47","ENSG00000171867","PRNP",2251.21745988182,0.764847728859914,0.0822850989745816,1.59144027523909e-21,4.65716373311457e-19
"48","ENSG00000180573","HIST1H2AC",381.393749194907,-1.41279732731113,0.162230103017164,1.95843080133017e-21,5.61172025864482e-19
"49","ENSG00000175274","TP53I11",78.2379610366292,-2.33464365156435,0.255984909406722,3.25572364567844e-21,9.13861694340026e-19
"50","ENSG00000139289","PHLDA1",504.277549880637,1.04387318085238,0.116649386476971,4.72015847679358e-21,1.29842119379638e-18
"51","ENSG00000073756","PTGS2",1120.9379349821,0.95742742029997,0.105915551451173,4.88576463951546e-21,1.31762366376266e-18
"52","ENSG00000171346","KRT15",22093.9449445356,-0.94508223833131,0.105082432592737,8.27010541025092e-21,2.18744288101137e-18
"53","ENSG00000164104","HMGB2",804.351294287335,0.877198987418603,0.0972721545213513,1.13397123207372e-20,2.94276232564942e-18
"54","ENSG00000167996","FTH1",8712.1628555173,-0.619359531083919,0.0684253203058816,1.32271561034613e-20,3.36900564901863e-18
"55","ENSG00000156804","FBXO32",97.9271621835955,-2.39952323416912,0.268225499848248,1.55443600363152e-20,3.88722050799054e-18
"56","ENSG00000138413","IDH1",4974.36552091679,-0.63199698093909,0.0700724682113835,1.89446431719173e-20,4.6529396819027e-18
"57","ENSG00000187840","EIF4EBP1",843.361015793611,0.898408747603286,0.100650410645932,2.23142638442817e-20,5.38439271779386e-18
"58","ENSG00000092621","PHGDH",970.510985760918,0.924502598651553,0.103990611723715,2.50364480648176e-20,5.93709149454313e-18
"59","ENSG00000115902","SLC1A4",148.781294970543,1.74974859078359,0.20387342777582,3.09709256356468e-20,7.21990018970656e-18
"60","ENSG00000104332","SFRP1",860.43407306931,0.919822188488407,0.103725932147613,3.17995831214065e-20,7.28952443753043e-18
"61","ENSG00000274173","AL035661.1",242.911769607762,-1.68661753069706,0.198408475746179,3.83522342426622e-20,8.64748573399305e-18
"62","ENSG00000164938","TP53INP1",535.772833692128,-1.19076487875165,0.139796903742977,4.29952837597444e-20,9.53801827147619e-18
"63","ENSG00000167916","KRT24",276.529266738707,1.38996223199917,0.166328462882568,4.4558597951012e-20,9.72791993997173e-18
"64","ENSG00000117525","F3",2302.47236273901,1.02223951204348,0.117381341217951,5.03779909849861e-20,1.06599828924231e-17
"65","ENSG00000135148","TRAFD1",869.393709993926,-0.980791522567047,0.112006425119216,4.986328122941e-20,1.06599828924231e-17
"66","ENSG00000188229","TUBB4B",3265.33047510903,0.873701896937476,0.0988103720581338,5.65051095310336e-20,1.17753223710581e-17
"67","ENSG00000150593","PDCD4",1699.20865977444,-0.81118014521478,0.0920629384611886,1.07950609504151e-19,2.21604878077625e-17
"68","ENSG00000134363","FST",186.413959449277,2.04108069845506,0.236206915616996,1.21010239036288e-19,2.44761004074281e-17
"69","ENSG00000163932","PRKCD",2451.34192144986,-0.95772853786632,0.11095728333489,1.84922232824415e-19,3.68611650763334e-17
"70","ENSG00000082074","FYB1",1534.55092917751,-1.07053989957101,0.126482680006905,2.5228073705952e-19,4.95695608216663e-17
"71","ENSG00000148175","STOM",1968.284497369,-0.691785221325195,0.0801139002662558,6.67232850790202e-19,1.29255220137584e-16
"72","ENSG00000164120","HPGD",399.891343272305,-1.45960168768752,0.181948760017857,7.14517233191208e-19,1.36492639240443e-16
"73","ENSG00000137975","CLCA2",2497.32742014675,-0.638814540878376,0.0743437437593914,8.41683008728971e-19,1.58582302767921e-16
"74","ENSG00000130508","PXDN",79.5819404739197,-10.3190699311238,1.18882421731816,9.98813265573633e-19,1.85644292631078e-16
"75","ENSG00000185215","TNFAIP2",576.47986221757,-1.40008406560341,0.17699761254543,1.84283846527442e-18,3.37952003351791e-16
"76","ENSG00000166508","MCM7",1420.82444789883,0.72438751890998,0.0854339855847245,2.53524463642196e-18,4.58812562228258e-16
"77","ENSG00000105281","SLC1A5",2564.33834060427,0.841064723937423,0.100423187884467,3.99077679606707e-18,7.1284602666372e-16
"78","ENSG00000163171","CDC42EP3",890.830634257736,-0.740040028504646,0.0879181635941391,4.17659614769656e-18,7.36473120710493e-16
